City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
276,paragominas,-2.9667,-47.4833,26.95,75,32,1.6,BR,1748465882
277,keflavik,64.0049,-22.5624,10.24,66,75,4.63,IS,1748465883
278,paita,-5.0892,-81.1144,23.06,75,16,7.17,PE,1748465884
279,jinka,5.65,36.65,17.53,87,88,1.3,ET,1748465885
280,san lawrenz,36.0553,14.204,19.36,87,29,6.26,MT,1748465886
281,kudat,6.8837,116.8477,25.96,94,40,2.68,MY,1748465887
282,guaratinga,-16.5667,-39.5667,23.88,91,100,1.78,BR,1748465888
283,beira,-19.8436,34.8389,22.05,88,0,2.68,MZ,1748465889
284,sann,26.0418,68.1378,34.9,36,52,4.21,PK,1748465890
285,bereeda,11.8704,51.0579,30.19,63,71,2.4,SO,1748465891
286,shenjiamen,29.9576,122.298,17.63,84,87,4.01,CN,1748465892
287,akureyri,65.6835,-18.0878,7.96,93,75,4.12,IS,1748465894
288,minas de marcona,-15.2119,-75.1103,17.47,60,0,6.88,PE,1748465895
289,buala,-8.145,159.5921,27.98,81,30,1.65,SB,1748465896
290,mogocha,53.7333,119.7667,16.38,54,46,1.73,RU,1748465897
291,komoro,36.3167,138.4333,15.41,78,100,0.22,JP,1748465898
292,la mira,18.035,-102.3266,29.52,65,99,5.46,MX,1748465899
293,saipan,15.1355,145.701,27.39,91,0,1.54,MP,1748465900
294,maragogi,-9.0122,-35.2225,24.95,85,8,1.96,BR,1748465901
295,constantia,44.1833,28.65,14.38,86,98,3.14,RO,1748465902
296,kratovo,42.0792,22.1814,12.39,68,1,3.68,MK,1748465904
297,port hueneme,34.1478,-119.1951,21.08,75,100,5.66,US,1748465841
298,tulum,20.2167,-87.4667,31.06,74,99,3.13,MX,1748465908
299,tvoroyri,61.5556,-6.8111,9.07,83,8,6.93,FO,1748465909
300,la'ie,21.6477,-157.9253,27.66,65,13,1.79,US,1748465910
301,royan,45.6285,-1.0281,17.64,86,97,2.76,FR,1748465911
302,melenci,45.5139,20.3172,17.49,70,85,2.43,RS,1748465912
303,yorkton,51.2167,-102.4677,24.91,25,0,5.66,CA,1748465913
304,tindouf,27.6711,-8.1474,37.25,12,40,3.6,DZ,1748465914
305,arsin,40.9496,39.9276,15.74,82,75,3.09,TR,1748465915
306,pierre,44.3683,-100.351,20.15,51,100,3.6,US,1748465916
307,puerto armuelles,8.2833,-82.8667,28.38,78,63,1.79,PA,1748465917
308,namtsy,62.7161,129.6658,15.72,60,1,5.65,RU,1748465918
309,nadym,65.5333,72.5167,2.45,99,100,4.01,RU,1748465920
310,vila franca do campo,37.7167,-25.4333,19.23,88,90,3.08,PT,1748465921
311,nguruka,-5.1092,31.0419,21.08,68,85,1.45,TZ,1748465922
312,yung shue wan,22.2333,114.1167,26.49,90,98,4.64,HK,1748465923
313,klyuchi,52.2667,79.1667,7.93,55,99,2.52,RU,1748465924
314,sisimiut,66.9395,-53.6735,2.37,80,100,5.67,GL,1748465925
315,praia da vitoria,38.7333,-27.0667,21.14,73,40,6.26,PT,1748465926
316,nova vicosa,-17.8919,-39.3719,23.78,92,93,3.77,BR,1748465927
317,hirara,24.8,125.2833,24.92,100,75,3.09,JP,1748465928
318,kupang,-10.1667,123.5833,26.32,94,75,2.06,ID,1748465929
319,kaoma,-14.7833,24.8,14.31,54,1,2.69,ZM,1748465930
320,yoko,5.5333,12.3167,19.72,92,100,1.44,CM,1748465931
321,natal,-5.795,-35.2094,29.12,70,40,6.69,BR,1748465933
322,altai,46.3722,96.2583,5.06,23,56,3.6,MN,1748465934
323,dunedin,-45.8742,170.5036,9.33,99,100,4.02,NZ,1748465935
324,valguarnera caropepe,37.4955,14.3888,16.55,69,91,2.05,IT,1748465936
325,bathsheba,13.2167,-59.5167,30.34,70,40,8.75,BB,1748465937
326,changji,44.0167,87.3167,14.44,58,0,3.0,CN,1748465938
327,kimbe,-5.5502,150.1429,24.94,87,95,1.57,PG,1748465939
328,iskateley,67.6803,53.1512,9.93,75,21,2.95,RU,1748465940
329,shakawe,-18.3667,21.85,15.55,43,0,2.26,BW,1748465941
330,queenstown,-31.8976,26.8753,15.26,38,0,5.05,ZA,1748465942
331,broken hill,-31.95,141.4333,6.92,89,100,4.27,AU,1748465943
332,kristiansund,63.1115,7.732,10.36,66,0,5.14,NO,1748465944
333,belle fourche,44.6714,-103.8522,18.73,48,5,6.93,US,1748465945
334,itaituba,-4.2761,-55.9836,33.09,58,20,0.0,BR,1748465947
335,road town,18.4167,-64.6167,29.02,65,75,5.66,VG,1748465816
336,vila velha,-20.3297,-40.2925,23.97,88,40,1.54,BR,1748465949
337,al hazm,16.1641,44.7769,28.32,44,74,4.34,YE,1748465950
338,camp verde,34.5636,-111.8543,35.7,7,67,7.57,US,1748465951
339,santa cruz,-17.8,-63.1667,19.03,39,75,11.32,BO,1748465952
340,shiguai,40.7058,110.2856,15.81,45,92,2.52,CN,1748465953
341,morant bay,17.8815,-76.4093,31.76,71,3,5.47,JM,1748465954
342,ndele,8.4109,20.6473,22.44,89,100,1.32,CF,1748465955
343,bouar,5.934,15.596,19.53,91,79,1.07,CF,1748465956
344,isangel,-19.55,169.2667,20.06,100,20,0.51,VU,1748465957
345,fale old settlement,-9.3852,-171.2468,28.56,79,100,7.42,TK,1748465958
346,sibolga,1.7427,98.7792,25.58,91,38,1.31,ID,1748465959
347,sogndal,61.2283,7.1003,9.21,93,75,4.12,NO,1748465961
348,usinsk,65.9939,57.5281,12.34,85,99,4.48,RU,1748465962
349,miyazu,35.5333,135.1833,15.83,85,100,1.14,JP,1748465963
350,mossel bay,-34.1831,22.146,18.91,48,0,5.03,ZA,1748465964
351,qamdo,31.1667,97.2333,7.72,52,38,2.46,CN,1748465965
352,yaren,-0.5472,166.916,28.43,77,48,6.2,NR,1748465966
353,yeraliyev,43.2,51.65,21.78,29,5,5.83,KZ,1748465967
354,chiredzi,-21.05,31.6667,15.43,63,0,1.39,ZW,1748465968
355,southeast arcadia,27.1863,-81.8521,33.27,58,100,3.25,US,1748465969
356,villa regina,-39.1,-67.0667,13.32,15,87,0.89,AR,1748465970
357,niquelandia,-14.4739,-48.4597,25.09,37,91,1.56,BR,1748465971
358,ajdabiya,30.7554,20.2263,20.1,76,0,4.06,LY,1748465972
359,tirumala,13.6833,79.35,23.13,65,100,6.57,IN,1748465974
360,cestos city,5.46,-9.5828,25.74,89,97,2.76,LR,1748465975
